week,month,segment,zone,vehicle_class,total_transactions,total_revenue_eur,avg_toll_eur
4,January,A2_Ost,Ost,Bus,661,8042.3,12.1669
4,January,A9_Sued,Sued,Bus,712,6960.12,9.7755
4,January,A7_West,West,Bus,717,5887.81,8.2117
4,January,A1_Nord,Nord,Bus,730,5095.82,6.9806
4,January,A100_Berlin,Berlin,LKW_18t,929,2934.52,3.1588
4,January,A100_Berlin,Berlin,LKW_7.5t,1245,2675.62,2.1491
4,January,A100_Berlin,Berlin,Bus,728,1298.3,1.7834
4,January,A1_Nord,Nord,PKW,1966,0.0,0.0
4,January,A7_West,West,PKW,1962,0.0,0.0
4,January,A100_Berlin,Berlin,PKW,1885,0.0,0.0
4,January,A2_Ost,Ost,PKW,1902,0.0,0.0
4,January,A9_Sued,Sued,PKW,1968,0.0,0.0
5,January,A2_Ost,Ost,LKW_18t,487,10520.02,21.6017
5,February,A2_Ost,Ost,LKW_18t,454,9751.72,21.4796
5,January,A2_Ost,Ost,LKW_7.5t,581,8519.54,14.6636
5,February,A9_Sued,Sued,LKW_18t,481,8276.31,17.2065
5,February,A2_Ost,Ost,LKW_7.5t,566,8243.6,14.5647
5,January,A9_Sued,Sued,LKW_18t,442,7622.62,17.2457
5,February,A7_West,West,LKW_18t,501,7298.53,14.5679
5,February,A9_Sued,Sued,LKW_7.5t,609,7173.5,11.7791
5,January,A7_West,West,LKW_18t,479,6956.88,14.5238
5,February,A1_Nord,Nord,LKW_18t,515,6355.98,12.3417
5,January,A9_Sued,Sued,LKW_7.5t,530,6217.03,11.7303
5,January,A1_Nord,Nord,LKW_18t,469,5806.58,12.3808
5,January,A7_West,West,LKW_7.5t,582,5794.53,9.9562
5,February,A7_West,West,LKW_7.5t,582,5768.46,9.9114
5,February,A1_Nord,Nord,LKW_7.5t,641,5405.31,8.4326
5,January,A1_Nord,Nord,LKW_7.5t,596,5054.1,8.48
5,February,A2_Ost,Ost,Bus,394,4792.12,12.1628
5,January,A2_Ost,Ost,Bus,337,4088.04,12.1307
5,February,A9_Sued,Sued,Bus,383,3729.68,9.7381
5,January,A9_Sued,Sued,Bus,343,3350.51,9.7683
5,February,A7_West,West,Bus,352,2894.01,8.2216
5,January,A7_West,West,Bus,345,2832.19,8.2093
5,February,A1_Nord,Nord,Bus,372,2610.99,7.0188
5,January,A1_Nord,Nord,Bus,304,2130.37,7.0078
5,February,A100_Berlin,Berlin,LKW_18t,511,1609.28,3.1493
5,January,A100_Berlin,Berlin,LKW_18t,498,1567.44,3.1475
5,February,A100_Berlin,Berlin,LKW_7.5t,606,1304.39,2.1525
5,January,A100_Berlin,Berlin,LKW_7.5t,579,1245.4,2.151
5,January,A100_Berlin,Berlin,Bus,348,623.66,1.7921
5,February,A100_Berlin,Berlin,Bus,349,620.96,1.7793
5,February,A1_Nord,Nord,PKW,978,0.0,0.0
5,January,A1_Nord,Nord,PKW,939,0.0,0.0
5,January,A7_West,West,PKW,878,0.0,0.0
5,February,A100_Berlin,Berlin,PKW,998,0.0,0.0
5,January,A100_Berlin,Berlin,PKW,939,0.0,0.0
5,February,A7_West,West,PKW,987,0.0,0.0
5,January,A2_Ost,Ost,PKW,960,0.0,0.0
5,February,A2_Ost,Ost,PKW,976,0.0,0.0
5,February,A9_Sued,Sued,PKW,1000,0.0,0.0
5,January,A9_Sued,Sued,PKW,904,0.0,0.0
6,February,A2_Ost,Ost,LKW_18t,986,21166.64,21.4672
6,February,A2_Ost,Ost,LKW_7.5t,1193,17478.21,14.6506
6,February,A9_Sued,Sued,LKW_18t,960,16541.28,17.2305
6,February,A7_West,West,LKW_18t,972,14130.92,14.538
6,February,A9_Sued,Sued,LKW_7.5t,1166,13682.17,11.7343
6,February,A7_West,West,LKW_7.5t,1181,11739.74,9.9405
6,February,A1_Nord,Nord,LKW_18t,937,11599.35,12.3792
6,February,A1_Nord,Nord,LKW_7.5t,1125,9503.3,8.4474
6,February,A2_Ost,Ost,Bus,738,8976.6,12.1634
6,February,A9_Sued,Sued,Bus,698,6794.39,9.7341
6,February,A7_West,West,Bus,750,6168.53,8.2247
6,February,A1_Nord,Nord,Bus,693,4870.9,7.0287
6,February,A100_Berlin,Berlin,LKW_18t,992,3131.05,3.1563
6,February,A100_Berlin,Berlin,LKW_7.5t,1267,2719.44,2.1464
6,February,A100_Berlin,Berlin,Bus,728,1298.69,1.7839
6,February,A7_West,West,PKW,1893,0.0,0.0
6,February,A9_Sued,Sued,PKW,2012,0.0,0.0
6,February,A1_Nord,Nord,PKW,1983,0.0,0.0
6,February,A100_Berlin,Berlin,PKW,1874,0.0,0.0
6,February,A2_Ost,Ost,PKW,1926,0.0,0.0
7,February,A2_Ost,Ost,LKW_18t,953,20505.57,21.5169
7,February,A2_Ost,Ost,LKW_7.5t,1225,17977.74,14.6757
7,February,A9_Sued,Sued,LKW_18t,956,16454.79,17.2121
7,February,A7_West,West,LKW_18t,963,13984.74,14.5221
7,February,A9_Sued,Sued,LKW_7.5t,1117,13145.49,11.7686
7,February,A1_Nord,Nord,LKW_18t,986,12178.51,12.3514
7,February,A7_West,West,LKW_7.5t,1205,11933.55,9.9034
7,February,A1_Nord,Nord,LKW_7.5t,1259,10637.24,8.449
7,February,A2_Ost,Ost,Bus,774,9410.63,12.1584
7,February,A9_Sued,Sued,Bus,712,6919.18,9.718
7,February,A7_West,West,Bus,733,6031.93,8.2291
7,February,A1_Nord,Nord,Bus,720,5039.47,6.9993
7,February,A100_Berlin,Berlin,LKW_18t,948,2980.04,3.1435
7,February,A100_Berlin,Berlin,LKW_7.5t,1260,2705.0,2.1468
7,February,A100_Berlin,Berlin,Bus,756,1346.14,1.7806
7,February,A2_Ost,Ost,PKW,1915,0.0,0.0
7,February,A7_West,West,PKW,1957,0.0,0.0
7,February,A1_Nord,Nord,PKW,1956,0.0,0.0
7,February,A9_Sued,Sued,PKW,1829,0.0,0.0
7,February,A100_Berlin,Berlin,PKW,1904,0.0,0.0
8,February,A2_Ost,Ost,LKW_18t,975,20911.91,21.4481
8,February,A2_Ost,Ost,LKW_7.5t,1176,17190.14,14.6175
8,February,A9_Sued,Sued,LKW_18t,941,16206.2,17.2223
8,February,A9_Sued,Sued,LKW_7.5t,1229,14468.45,11.7725
8,February,A7_West,West,LKW_18t,910,13242.14,14.5518
8,February,A7_West,West,LKW_7.5t,1219,12099.32,9.9256
8,February,A1_Nord,Nord,LKW_18t,914,11345.63,12.4132
8,February,A1_Nord,Nord,LKW_7.5t,1236,10444.37,8.4501
8,February,A2_Ost,Ost,Bus,664,8069.23,12.1525
8,February,A9_Sued,Sued,Bus,700,6827.21,9.7532
8,February,A7_West,West,Bus,728,5980.27,8.2147
8,February,A1_Nord,Nord,Bus,681,4776.23,7.0135
8,February,A100_Berlin,Berlin,LKW_18t,959,3022.57,3.1518
8,February,A100_Berlin,Berlin,LKW_7.5t,1204,2579.97,2.1428
8,February,A100_Berlin,Berlin,Bus,746,1325.47,1.7768
8,February,A7_West,West,PKW,1924,0.0,0.0
8,February,A1_Nord,Nord,PKW,1950,0.0,0.0
8,February,A2_Ost,Ost,PKW,1965,0.0,0.0
8,February,A100_Berlin,Berlin,PKW,1881,0.0,0.0
8,February,A9_Sued,Sued,PKW,1938,0.0,0.0
9,February,A2_Ost,Ost,LKW_18t,591,12683.46,21.461
9,February,A2_Ost,Ost,LKW_7.5t,786,11517.63,14.6535
9,February,A9_Sued,Sued,LKW_18t,599,10304.02,17.202
9,February,A7_West,West,LKW_18t,642,9354.0,14.5701
9,February,A9_Sued,Sued,LKW_7.5t,731,8584.64,11.7437
9,February,A7_West,West,LKW_7.5t,824,8178.54,9.9254
9,March,A2_Ost,Ost,LKW_18t,337,7201.66,21.3699
9,February,A1_Nord,Nord,LKW_18t,558,6923.19,12.4071
9,February,A1_Nord,Nord,LKW_7.5t,766,6458.23,8.4311
9,March,A9_Sued,Sued,LKW_18t,347,6003.32,17.3006
9,March,A2_Ost,Ost,LKW_7.5t,402,5898.63,14.6732
9,February,A2_Ost,Ost,Bus,446,5417.09,12.1459
9,March,A9_Sued,Sued,LKW_7.5t,424,4990.26,11.7695
9,March,A7_West,West,LKW_18t,326,4755.77,14.5883
9,March,A7_West,West,LKW_7.5t,460,4551.74,9.8951
9,February,A9_Sued,Sued,Bus,436,4252.75,9.754
9,March,A1_Nord,Nord,LKW_18t,340,4204.13,12.3651
9,February,A7_West,West,Bus,495,4080.6,8.2436
9,March,A1_Nord,Nord,LKW_7.5t,415,3504.78,8.4453
9,March,A2_Ost,Ost,Bus,268,3261.11,12.1683
9,February,A1_Nord,Nord,Bus,429,2993.32,6.9774
9,March,A9_Sued,Sued,Bus,250,2428.03,9.7121
9,March,A7_West,West,Bus,262,2169.17,8.2793
9,February,A100_Berlin,Berlin,LKW_18t,633,1995.61,3.1526
9,March,A1_Nord,Nord,Bus,240,1688.31,7.0346
9,February,A100_Berlin,Berlin,LKW_7.5t,781,1675.94,2.1459
9,March,A100_Berlin,Berlin,LKW_18t,345,1093.32,3.169
9,March,A100_Berlin,Berlin,LKW_7.5t,398,857.31,2.1541
9,February,A100_Berlin,Berlin,Bus,454,810.24,1.7847
9,March,A100_Berlin,Berlin,Bus,255,455.61,1.7867
9,March,A100_Berlin,Berlin,PKW,728,0.0,0.0
9,March,A9_Sued,Sued,PKW,692,0.0,0.0
9,February,A7_West,West,PKW,1300,0.0,0.0
9,March,A1_Nord,Nord,PKW,648,0.0,0.0
9,March,A7_West,West,PKW,716,0.0,0.0
9,March,A2_Ost,Ost,PKW,597,0.0,0.0
9,February,A2_Ost,Ost,PKW,1258,0.0,0.0
9,February,A9_Sued,Sued,PKW,1119,0.0,0.0
9,February,A1_Nord,Nord,PKW,1257,0.0,0.0
9,February,A100_Berlin,Berlin,PKW,1229,0.0,0.0
10,March,A2_Ost,Ost,LKW_18t,966,20718.93,21.4482
10,March,A2_Ost,Ost,LKW_7.5t,1270,18615.88,14.6582
10,March,A9_Sued,Sued,LKW_18t,933,16027.42,17.1784
10,March,A7_West,West,LKW_18t,981,14267.49,14.5438
10,March,A9_Sued,Sued,LKW_7.5t,1137,13350.17,11.7416
10,March,A1_Nord,Nord,LKW_18t,1006,12478.51,12.4041
10,March,A7_West,West,LKW_7.5t,1167,11563.43,9.9087
10,March,A1_Nord,Nord,LKW_7.5t,1131,9559.47,8.4522
10,March,A2_Ost,Ost,Bus,760,9204.22,12.1108
10,March,A9_Sued,Sued,Bus,726,7072.62,9.7419
10,March,A7_West,West,Bus,706,5819.91,8.2435
10,March,A1_Nord,Nord,Bus,712,4991.4,7.0104
10,March,A100_Berlin,Berlin,LKW_18t,941,2969.82,3.156
10,March,A100_Berlin,Berlin,LKW_7.5t,1208,2601.24,2.1533
10,March,A100_Berlin,Berlin,Bus,663,1182.57,1.7837
10,March,A1_Nord,Nord,PKW,1884,0.0,0.0
10,March,A2_Ost,Ost,PKW,1977,0.0,0.0
10,March,A7_West,West,PKW,1893,0.0,0.0
10,March,A100_Berlin,Berlin,PKW,1822,0.0,0.0
10,March,A9_Sued,Sued,PKW,1901,0.0,0.0
11,March,A2_Ost,Ost,LKW_18t,985,21137.27,21.4592
11,March,A2_Ost,Ost,LKW_7.5t,1120,16423.27,14.6636
11,March,A9_Sued,Sued,LKW_18t,935,16058.86,17.1753
11,March,A7_West,West,LKW_18t,990,14387.6,14.5329
11,March,A9_Sued,Sued,LKW_7.5t,1174,13804.25,11.7583
11,March,A7_West,West,LKW_7.5t,1236,12302.99,9.9539
11,March,A1_Nord,Nord,LKW_18t,967,11959.83,12.368
11,March,A1_Nord,Nord,LKW_7.5t,1172,9900.32,8.4474
11,March,A2_Ost,Ost,Bus,741,8986.11,12.127
11,March,A9_Sued,Sued,Bus,710,6940.48,9.7753
11,March,A7_West,West,Bus,716,5890.27,8.2266
11,March,A1_Nord,Nord,Bus,714,5014.48,7.0231
11,March,A100_Berlin,Berlin,LKW_18t,924,2918.7,3.1588
11,March,A100_Berlin,Berlin,LKW_7.5t,1189,2560.2,2.1532
11,March,A100_Berlin,Berlin,Bus,703,1251.72,1.7805
11,March,A1_Nord,Nord,PKW,1866,0.0,0.0
11,March,A100_Berlin,Berlin,PKW,1909,0.0,0.0
11,March,A7_West,West,PKW,1862,0.0,0.0
11,March,A2_Ost,Ost,PKW,1962,0.0,0.0
11,March,A9_Sued,Sued,PKW,1873,0.0,0.0
12,March,A2_Ost,Ost,LKW_18t,882,18919.09,21.4502
12,March,A2_Ost,Ost,LKW_7.5t,1169,17149.23,14.67
12,March,A9_Sued,Sued,LKW_18t,917,15757.13,17.1833
12,March,A7_West,West,LKW_18t,975,14180.85,14.5445
12,March,A9_Sued,Sued,LKW_7.5t,1110,13027.79,11.7368
12,March,A7_West,West,LKW_7.5t,1244,12354.26,9.9311
12,March,A1_Nord,Nord,LKW_18t,934,11559.24,12.3761
12,March,A1_Nord,Nord,LKW_7.5t,1219,10312.61,8.4599
12,March,A2_Ost,Ost,Bus,785,9573.78,12.1959
12,March,A9_Sued,Sued,Bus,662,6441.65,9.7306
12,March,A7_West,West,Bus,742,6104.03,8.2264
12,March,A1_Nord,Nord,Bus,673,4705.12,6.9913
12,March,A100_Berlin,Berlin,LKW_18t,924,2914.24,3.1539
12,March,A100_Berlin,Berlin,LKW_7.5t,1241,2666.3,2.1485
12,March,A100_Berlin,Berlin,Bus,709,1266.74,1.7867
12,March,A9_Sued,Sued,PKW,1833,0.0,0.0
12,March,A100_Berlin,Berlin,PKW,1952,0.0,0.0
12,March,A1_Nord,Nord,PKW,1905,0.0,0.0
12,March,A2_Ost,Ost,PKW,1952,0.0,0.0
12,March,A7_West,West,PKW,1993,0.0,0.0
13,March,A2_Ost,Ost,LKW_18t,925,19837.87,21.4463
13,March,A2_Ost,Ost,LKW_7.5t,1214,17769.89,14.6375
13,March,A9_Sued,Sued,LKW_18t,915,15728.07,17.1892
13,March,A9_Sued,Sued,LKW_7.5t,1207,14140.9,11.7157
13,March,A7_West,West,LKW_18t,941,13698.72,14.5576
13,March,A1_Nord,Nord,LKW_18t,963,11935.52,12.3941
13,March,A7_West,West,LKW_7.5t,1198,11891.33,9.926
13,March,A1_Nord,Nord,LKW_7.5t,1184,10012.4,8.4564
13,March,A2_Ost,Ost,Bus,695,8441.68,12.1463
13,March,A9_Sued,Sued,Bus,724,7069.54,9.7646
13,March,A7_West,West,Bus,696,5744.91,8.2542
13,March,A1_Nord,Nord,Bus,752,5286.32,7.0297
13,March,A100_Berlin,Berlin,LKW_18t,948,2985.05,3.1488
13,March,A100_Berlin,Berlin,LKW_7.5t,1166,2508.89,2.1517
13,March,A100_Berlin,Berlin,Bus,727,1296.63,1.7835
13,March,A2_Ost,Ost,PKW,1945,0.0,0.0
13,March,A1_Nord,Nord,PKW,1927,0.0,0.0
13,March,A9_Sued,Sued,PKW,1902,0.0,0.0
13,March,A7_West,West,PKW,1893,0.0,0.0
13,March,A100_Berlin,Berlin,PKW,1977,0.0,0.0
14,April,A2_Ost,Ost,LKW_18t,995,21337.01,21.4442
14,April,A9_Sued,Sued,LKW_18t,1026,17694.3,17.2459
14,April,A2_Ost,Ost,LKW_7.5t,1195,17540.97,14.6786
14,April,A7_West,West,LKW_18t,1006,14640.78,14.5535
14,April,A9_Sued,Sued,LKW_7.5t,1188,13945.34,11.7385
14,April,A7_West,West,LKW_7.5t,1218,12077.8,9.9161
14,April,A1_Nord,Nord,LKW_18t,937,11598.59,12.3784
14,April,A1_Nord,Nord,LKW_7.5t,1182,9991.67,8.4532
14,April,A2_Ost,Ost,Bus,739,8951.52,12.113
14,April,A9_Sued,Sued,Bus,726,7085.65,9.7598
14,April,A7_West,West,Bus,685,5620.84,8.2056
14,April,A1_Nord,Nord,Bus,727,5105.91,7.0233
14,April,A100_Berlin,Berlin,LKW_18t,967,3043.5,3.1474
14,April,A100_Berlin,Berlin,LKW_7.5t,1153,2476.34,2.1477
14,April,A100_Berlin,Berlin,Bus,675,1200.25,1.7781
14,April,A2_Ost,Ost,PKW,1916,0.0,0.0
14,April,A9_Sued,Sued,PKW,1904,0.0,0.0
14,April,A7_West,West,PKW,1878,0.0,0.0
14,April,A100_Berlin,Berlin,PKW,1889,0.0,0.0
14,April,A1_Nord,Nord,PKW,1849,0.0,0.0
15,April,A2_Ost,Ost,LKW_18t,975,20871.87,21.407
15,April,A2_Ost,Ost,LKW_7.5t,1170,17117.62,14.6304
15,April,A9_Sued,Sued,LKW_18t,950,16325.59,17.1848
15,April,A9_Sued,Sued,LKW_7.5t,1169,13750.91,11.763
15,April,A7_West,West,LKW_18t,932,13539.92,14.5278
15,April,A7_West,West,LKW_7.5t,1170,11628.78,9.9391
15,April,A1_Nord,Nord,LKW_18t,930,11493.54,12.3586
15,April,A1_Nord,Nord,LKW_7.5t,1190,10067.08,8.4597
15,April,A2_Ost,Ost,Bus,708,8591.26,12.1345
15,April,A9_Sued,Sued,Bus,762,7428.16,9.7482
15,April,A7_West,West,Bus,725,5944.29,8.199
15,April,A1_Nord,Nord,Bus,675,4731.31,7.0093
15,April,A100_Berlin,Berlin,LKW_18t,955,3008.56,3.1503
15,April,A100_Berlin,Berlin,LKW_7.5t,1224,2628.43,2.1474
15,April,A100_Berlin,Berlin,Bus,743,1326.87,1.7858
15,April,A2_Ost,Ost,PKW,1884,0.0,0.0
15,April,A9_Sued,Sued,PKW,1888,0.0,0.0
15,April,A100_Berlin,Berlin,PKW,1944,0.0,0.0
15,April,A1_Nord,Nord,PKW,1897,0.0,0.0
15,April,A7_West,West,PKW,1860,0.0,0.0
16,April,A2_Ost,Ost,LKW_18t,946,20340.48,21.5016
16,April,A2_Ost,Ost,LKW_7.5t,1175,17196.65,14.6354
16,April,A9_Sued,Sued,LKW_18t,993,17167.45,17.2885
16,April,A9_Sued,Sued,LKW_7.5t,1191,13967.62,11.7276
16,April,A7_West,West,LKW_18t,922,13403.4,14.5373
16,April,A7_West,West,LKW_7.5t,1236,12261.66,9.9204
16,April,A1_Nord,Nord,LKW_18t,969,12013.33,12.3977
16,April,A1_Nord,Nord,LKW_7.5t,1152,9726.53,8.4432
16,April,A2_Ost,Ost,Bus,716,8691.03,12.1383
16,April,A9_Sued,Sued,Bus,742,7239.53,9.7568
16,April,A7_West,West,Bus,747,6137.01,8.2155
16,April,A1_Nord,Nord,Bus,725,5078.85,7.0053
16,April,A100_Berlin,Berlin,LKW_18t,921,2896.37,3.1448
16,April,A100_Berlin,Berlin,LKW_7.5t,1189,2553.03,2.1472
16,April,A100_Berlin,Berlin,Bus,685,1217.9,1.778
16,April,A100_Berlin,Berlin,PKW,1878,0.0,0.0
16,April,A9_Sued,Sued,PKW,1895,0.0,0.0
16,April,A2_Ost,Ost,PKW,1813,0.0,0.0
16,April,A7_West,West,PKW,1938,0.0,0.0
16,April,A1_Nord,Nord,PKW,1931,0.0,0.0
17,April,A2_Ost,Ost,LKW_18t,999,21434.6,21.4561
17,April,A2_Ost,Ost,LKW_7.5t,1238,18165.95,14.6736
17,April,A9_Sued,Sued,LKW_18t,898,15473.74,17.2313
17,April,A9_Sued,Sued,LKW_7.5t,1213,14247.14,11.7454
17,April,A7_West,West,LKW_18t,962,13959.41,14.5108
17,April,A7_West,West,LKW_7.5t,1226,12146.55,9.9075
17,April,A1_Nord,Nord,LKW_18t,942,11664.19,12.3824
17,April,A1_Nord,Nord,LKW_7.5t,1223,10344.66,8.4584
17,April,A2_Ost,Ost,Bus,763,9263.5,12.1409
17,April,A9_Sued,Sued,Bus,708,6901.79,9.7483
17,April,A7_West,West,Bus,711,5843.29,8.2184
17,April,A1_Nord,Nord,Bus,687,4800.12,6.9871
17,April,A100_Berlin,Berlin,LKW_18t,948,2987.32,3.1512
17,April,A100_Berlin,Berlin,LKW_7.5t,1198,2578.85,2.1526
17,April,A100_Berlin,Berlin,Bus,619,1101.98,1.7803
17,April,A9_Sued,Sued,PKW,1852,0.0,0.0
17,April,A7_West,West,PKW,1921,0.0,0.0
17,April,A1_Nord,Nord,PKW,1942,0.0,0.0
17,April,A100_Berlin,Berlin,PKW,1874,0.0,0.0
17,April,A2_Ost,Ost,PKW,1916,0.0,0.0
18,May,A2_Ost,Ost,LKW_18t,658,14134.26,21.4806
18,May,A9_Sued,Sued,LKW_18t,682,11725.18,17.1923
18,May,A2_Ost,Ost,LKW_7.5t,780,11427.48,14.6506
18,May,A7_West,West,LKW_18t,694,10136.1,14.6053
18,May,A9_Sued,Sued,LKW_7.5t,828,9704.9,11.7209
18,May,A7_West,West,LKW_7.5t,845,8395.0,9.9349
18,May,A1_Nord,Nord,LKW_18t,598,7418.81,12.406
18,April,A2_Ost,Ost,LKW_18t,313,6741.71,21.539
18,May,A1_Nord,Nord,LKW_7.5t,776,6549.76,8.4404
18,May,A2_Ost,Ost,Bus,535,6503.68,12.1564
18,April,A2_Ost,Ost,LKW_7.5t,402,5904.94,14.6889
18,April,A9_Sued,Sued,LKW_18t,341,5862.54,17.1922
18,April,A9_Sued,Sued,LKW_7.5t,387,4548.0,11.7519
18,May,A9_Sued,Sued,Bus,463,4514.54,9.7506
18,April,A7_West,West,LKW_7.5t,413,4102.09,9.9324
18,May,A7_West,West,Bus,499,4095.92,8.2083
18,April,A1_Nord,Nord,LKW_18t,327,4045.95,12.3729
18,April,A7_West,West,LKW_18t,269,3909.21,14.5324
18,May,A1_Nord,Nord,Bus,462,3240.08,7.0132
18,April,A1_Nord,Nord,LKW_7.5t,354,2990.78,8.4485
18,April,A2_Ost,Ost,Bus,230,2780.71,12.0901
18,April,A9_Sued,Sued,Bus,237,2298.98,9.7003
18,May,A100_Berlin,Berlin,LKW_18t,658,2074.65,3.153
18,April,A7_West,West,Bus,215,1773.18,8.2473
18,May,A100_Berlin,Berlin,LKW_7.5t,805,1733.59,2.1535
18,April,A1_Nord,Nord,Bus,219,1538.87,7.0268
18,May,A100_Berlin,Berlin,Bus,532,946.71,1.7795
18,April,A100_Berlin,Berlin,LKW_18t,282,886.72,3.1444
18,April,A100_Berlin,Berlin,LKW_7.5t,383,822.43,2.1473
18,April,A100_Berlin,Berlin,Bus,238,423.79,1.7806
18,May,A100_Berlin,Berlin,PKW,1299,0.0,0.0
18,April,A2_Ost,Ost,PKW,575,0.0,0.0
18,April,A9_Sued,Sued,PKW,552,0.0,0.0
18,April,A100_Berlin,Berlin,PKW,597,0.0,0.0
18,April,A1_Nord,Nord,PKW,619,0.0,0.0
18,May,A7_West,West,PKW,1299,0.0,0.0
18,May,A2_Ost,Ost,PKW,1293,0.0,0.0
18,May,A9_Sued,Sued,PKW,1269,0.0,0.0
18,May,A1_Nord,Nord,PKW,1276,0.0,0.0
18,April,A7_West,West,PKW,660,0.0,0.0
19,May,A2_Ost,Ost,LKW_18t,973,20909.32,21.4895
19,May,A2_Ost,Ost,LKW_7.5t,1214,17820.3,14.679
19,May,A9_Sued,Sued,LKW_18t,941,16196.73,17.2123
19,May,A9_Sued,Sued,LKW_7.5t,1237,14573.14,11.781
19,May,A7_West,West,LKW_18t,992,14469.61,14.5863
19,May,A7_West,West,LKW_7.5t,1225,12178.81,9.9419
19,May,A1_Nord,Nord,LKW_18t,897,11115.26,12.3916
19,May,A1_Nord,Nord,LKW_7.5t,1142,9634.58,8.4366
